mode,camera_id,stream_type,topic,message_index,width,height,pixel_format_type,data_size,bytes_per_pixel,saved_rgb_path,saved_depth_path,depth_storage_type,depth_storage_byte_order,metadata_path
rgbd,cam_corner_se,rgb,/perception/native/rgbd/cam_corner_se/rgb,1,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_se/rgb/000001.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_se/metadata/rgb_000001.json
rgbd,cam_corner_se,rgb,/perception/native/rgbd/cam_corner_se/rgb,2,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_se/rgb/000002.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_se/metadata/rgb_000002.json
rgbd,cam_corner_sw,depth,/perception/native/rgbd/cam_corner_sw/depth,0,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_sw/depth/000000.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_sw/metadata/depth_000000.json
rgbd,cam_corner_sw,depth,/perception/native/rgbd/cam_corner_sw/depth,1,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_sw/depth/000001.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_sw/metadata/depth_000001.json
rgbd,cam_corner_sw,depth,/perception/native/rgbd/cam_corner_sw/depth,2,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_sw/depth/000002.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_sw/metadata/depth_000002.json
rgbd,cam_corner_sw,rgb,/perception/native/rgbd/cam_corner_sw/rgb,0,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_sw/rgb/000000.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_sw/metadata/rgb_000000.json
rgbd,cam_corner_sw,rgb,/perception/native/rgbd/cam_corner_sw/rgb,1,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_sw/rgb/000001.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_sw/metadata/rgb_000001.json
rgbd,cam_corner_sw,rgb,/perception/native/rgbd/cam_corner_sw/rgb,2,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_sw/rgb/000002.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_sw/metadata/rgb_000002.json
rgbd,cam_wall_east,depth,/perception/native/rgbd/cam_wall_east/depth,0,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_wall_east/depth/000000.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_wall_east/metadata/depth_000000.json
rgbd,cam_wall_east,depth,/perception/native/rgbd/cam_wall_east/depth,1,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_wall_east/depth/000001.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_wall_east/metadata/depth_000001.json
rgbd,cam_wall_east,depth,/perception/native/rgbd/cam_wall_east/depth,2,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_wall_east/depth/000002.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_wall_east/metadata/depth_000002.json
rgbd,cam_wall_east,rgb,/perception/native/rgbd/cam_wall_east/rgb,0,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_wall_east/rgb/000000.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_wall_east/metadata/rgb_000000.json
rgbd,cam_wall_east,rgb,/perception/native/rgbd/cam_wall_east/rgb,1,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_wall_east/rgb/000001.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_wall_east/metadata/rgb_000001.json
